Grupo Indicador;Indicador;Serie;Regiao;Base;Unidade;Periodicidade;Status;Ano;Trimestre;Mês;Data;Valor
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;1;Mar;39873;68,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;2;Abr;39904;68,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;2;Mai;39934;72,3
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;2;Jun;39965;69,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;3;Jul;39995;71,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;3;Ago;40026;72,8
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;3;Set;40057;71
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;4;Out;40087;76,7
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;4;Nov;40118;74,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2009;4;Dez;40148;101,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;1;Jan;40179;75,4
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;1;Fev;40210;69,9
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;1;Mar;40238;79,1
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;2;Abr;40269;75,2
Industria e comercio;PMC;Vol. vendas - indice restrito;Brasil;Original;indice (media 2011 = 100);Mensal;Actual;2010;2;Mai;40299;79,8
